timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81984228,01-01 16:46:24:228,-3,-4,16,3,-3,0,-2,-1
81984266,01-01 16:46:24:266,-18,-5,-3,-6,-3,0,4,1
81984326,01-01 16:46:24:326,3,-12,-4,8,7,6,-2,0
81984385,01-01 16:46:24:385,-4,-46,-61,-6,-8,-6,-4,-7
81984438,01-01 16:46:24:438,-7,-2,-9,-2,-11,-4,-4,-1
81984468,01-01 16:46:24:468,4,-118,9,0,3,1,-3,-2
81984528,01-01 16:46:24:528,10,2,18,-2,-6,-3,0,2
81984588,01-01 16:46:24:588,8,-12,-43,1,14,6,-4,0
81984626,01-01 16:46:24:626,-8,-12,-73,-23,-5,-6,-5,-6
81984686,01-01 16:46:24:686,5,-16,-19,-7,-5,-4,-2,-1
81984746,01-01 16:46:24:746,-7,-10,-12,-8,8,0,-4,-2
81984792,01-01 16:46:24:792,7,16,-30,0,-9,-2,-3,3
81984828,01-01 16:46:24:828,2,-7,31,-10,6,-4,0,-1
81984888,01-01 16:46:24:888,-1,-6,-79,-16,-10,1,-4,-3
81984948,01-01 16:46:24:948,5,-1,9,-6,-3,-5,-13,2
81984993,01-01 16:46:24:993,0,-6,15,-5,9,-8,-1,0
81985052,01-01 16:46:25:52,-3,-1,-5,-6,-8,3,3,-3
81985091,01-01 16:46:25:91,9,1,-6,16,20,16,6,4
81985151,01-01 16:46:25:151,-5,-15,-3,2,-8,-8,-3,-1
81985196,01-01 16:46:25:196,4,10,14,11,4,2,-4,0
81985248,01-01 16:46:25:248,-6,-14,-63,-13,-10,-3,-5,-2
81985307,01-01 16:46:25:307,-6,-45,42,23,-2,-3,-2,-1
81985355,01-01 16:46:25:355,-4,6,-20,4,1,1,1,-2
81985392,01-01 16:46:25:392,-5,-25,31,7,1,1,1,-2
81985452,01-01 16:46:25:452,1,16,7,4,0,3,2,1
81985512,01-01 16:46:25:512,-6,15,6,0,5,2,3,1
81985556,01-01 16:46:25:556,8,-19,-6,-14,-9,-7,-27,-4
81985617,01-01 16:46:25:617,-2,7,23,-1,-2,-4,-1,-1
81985667,01-01 16:46:25:667,5,23,20,6,6,6,2,3
81985715,01-01 16:46:25:715,-8,-39,1,-17,-10,-6,-3,-3
81985753,01-01 16:46:25:753,-1,-26,-18,4,4,-2,-1,-2
81985812,01-01 16:46:25:812,-1,6,65,5,8,5,1,0
81985872,01-01 16:46:25:872,-3,30,7,14,1,-1,0,0
81985916,01-01 16:46:25:916,-7,-3,13,-1,-2,-1,-2,-3
81985976,01-01 16:46:25:976,-2,-3,-14,2,3,3,0,0
81986027,01-01 16:46:26:27,-3,2,1,-4,-7,-2,-1,-2
81986075,01-01 16:46:26:75,-10,0,14,3,5,3,0,-2
81986117,01-01 16:46:26:117,2,11,-84,-1,-5,-5,-1,0
81986177,01-01 16:46:26:177,-2,15,21,6,7,5,-1,-1
81986230,01-01 16:46:26:230,2,23,23,-1,4,0,-1,1
81986277,01-01 16:46:26:277,4,0,-29,-2,-7,-1,1,3
81986335,01-01 16:46:26:335,-8,-15,-1,-1,-3,-2,-2,-1
81986382,01-01 16:46:26:382,-1,7,41,4,5,6,3,-1
81986435,01-01 16:46:26:435,-1,-10,5,2,5,7,2,-2
81986478,01-01 16:46:26:478,1,-9,-34,-4,-20,-3,1,1
81986538,01-01 16:46:26:538,-2,14,33,17,17,-1,-1,0
81986589,01-01 16:46:26:589,1,5,-2,12,7,4,1,0
81986637,01-01 16:46:26:637,-11,-12,-7,-11,-22,2,-1,-1
81986675,01-01 16:46:26:675,1,-3,-3,-7,9,-1,-2,1
81986742,01-01 16:46:26:742,-3,-2,1,-15,2,-6,-1,-2
81986795,01-01 16:46:26:795,5,12,-8,-5,12,10,5,3
81986838,01-01 16:46:26:838,6,1,19,5,-3,-4,-11,0
81986889,01-01 16:46:26:889,3,6,20,2,11,6,1,0
81986937,01-01 16:46:26:937,-5,-11,-68,-8,0,0,1,0
81986997,01-01 16:46:26:997,4,5,13,3,11,3,0,0
81987039,01-01 16:46:27:39,2,-14,66,-3,2,-4,-1,-1
81987099,01-01 16:46:27:99,0,-15,-70,2,1,-1,-1,-3
81987153,01-01 16:46:27:153,0,-9,-28,-13,-5,1,0,1
81987200,01-01 16:46:27:200,-2,-16,-14,-12,0,2,0,-3
81987237,01-01 16:46:27:237,4,1,-9,-20,-4,-1,-2,0
81987297,01-01 16:46:27:297,4,-48,28,0,-1,-4,-1,-1
81987341,01-01 16:46:27:341,-4,-11,7,9,-1,0,1,0
81987392,01-01 16:46:27:392,3,-15,-25,-5,1,-1,-2,1
81987452,01-01 16:46:27:452,3,-14,-66,-11,4,0,3,0
