timestamp,formatted_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_w,pitch_w,yaw_w,rssi,pose 
81979682,01-01 16:46:19:682,-0.561523,-0.115723,0.511719,38.8125,149.312,131.25,8,14,15,-53,unknown
81979722,01-01 16:46:19:722,-0.770508,-0.0864258,0.48877,24.0625,157.938,118.375,8,15,16,-53,unknown
81979779,01-01 16:46:19:779,-0.833008,0.0385742,0.313965,16.125,144.75,87.1875,9,16,16,-53,unknown
81979833,01-01 16:46:19:833,-0.914062,0.0708008,0.151367,6.6875,119.438,71.625,10,16,17,-53,unknown
81979884,01-01 16:46:19:884,-0.901367,0.158203,-0.0136719,-10.875,58.625,45.6875,11,16,0,-53,unknown
81979925,01-01 16:46:19:925,-0.869629,0.197266,-0.0649414,5.9375,21.8125,29.375,11,16,1,-53,unknown
81979983,01-01 16:46:19:983,-0.858887,0.188965,-0.0458984,-4.875,-42.375,-21.375,11,16,1,-53,unknown
81980029,01-01 16:46:20:29,-0.904297,0.113281,0.0668945,-32.25,-92.125,-70.25,11,16,0,-53,unknown
81980081,01-01 16:46:20:81,-0.98291,0.148438,0.336426,-34.125,-157.625,-117.75,9,16,16,-53,unknown
81980125,01-01 16:46:20:125,-0.995117,0.0917969,0.510742,-47.125,-194.688,-148.375,8,15,16,-53,unknown
81980185,01-01 16:46:20:185,-0.791992,-0.125977,0.633301,-41.5,-207.5,-175.125,8,13,15,-53,unknown
81980222,01-01 16:46:20:222,-0.626465,-0.484375,0.770996,4.25,-198.938,-170.625,7,12,15,-53,unknown
81980282,01-01 16:46:20:282,-0.233887,-0.291992,0.796875,31.6875,-195.5,-132.562,7,11,15,-53,unknown
81980342,01-01 16:46:20:342,-0.10498,-0.437988,0.998535,68.0625,-157.438,-80.9375,7,10,14,-53,unknown
81980382,01-01 16:46:20:382,-0.0146484,-0.327148,1.03906,50.125,-120.188,-59.75,8,9,14,-53,unknown
81980442,01-01 16:46:20:442,0.0317383,-0.290527,1.15771,-8.625,-66.5,-34.5625,8,9,14,-53,unknown
81980480,01-01 16:46:20:480,0.0234375,-0.415039,1.24561,10.75,-34.625,-21.75,8,8,14,-53,unknown
81980540,01-01 16:46:20:540,-0.0400391,-0.310547,1.23047,3.9375,1.5625,2.9375,8,8,14,-53,unknown
81980582,01-01 16:46:20:582,-0.0209961,-0.296875,1.16113,-1.375,15.0625,5.75,8,8,14,-53,unknown
81980642,01-01 16:46:20:642,0.0341797,-0.290039,1.15674,-2.0625,55.0625,24.125,8,9,14,-53,unknown
81980702,01-01 16:46:20:702,-0.0405273,-0.364258,1.08008,-31.375,111.938,57.6875,8,9,14,-53,unknown
81980720,01-01 16:46:20:720,-0.108398,-0.378906,1.06543,-24.75,124.125,68,8,10,14,-53,unknown
81980802,01-01 16:46:20:802,-0.353516,-0.319824,0.958984,-16.375,163.625,100.625,8,11,15,-53,unknown
81980839,01-01 16:46:20:839,-0.507324,-0.307617,0.887207,-9.875,162.938,98.5,8,12,15,-53,unknown
81980899,01-01 16:46:20:899,-0.612793,-0.229004,0.732422,2.6875,163.5,107.312,8,13,15,-53,unknown
81980959,01-01 16:46:20:959,-0.700684,-0.142578,0.59668,12.9375,161.75,106.062,8,14,15,-53,unknown
81981006,01-01 16:46:21:6,-0.830078,-0.0600586,0.535156,28.8125,158.438,102.25,8,14,15,-53,unknown
81981063,01-01 16:46:21:63,-0.836426,0.0151367,0.3125,6,143.938,102,9,15,16,-53,unknown
81981102,01-01 16:46:21:102,-0.900391,0.0517578,0.186035,-9.4375,120.562,86.3125,10,16,17,-53,unknown
81981138,01-01 16:46:21:138,-0.876465,0.151367,0.13916,-4.6875,98,79.125,10,16,0,-53,unknown
81981198,01-01 16:46:21:198,-0.914551,0.236328,0.0454102,-18.625,29.6875,30.6875,11,16,1,-53,unknown
81981258,01-01 16:46:21:258,-0.927246,0.246094,0.0795898,-11.1875,-32.125,-22.3125,11,16,1,-53,unknown
81981318,01-01 16:46:21:318,-0.928711,0.13916,0.112793,-6.6875,-73.75,-48.125,10,16,0,-53,unknown
81981364,01-01 16:46:21:364,-0.949707,0.0620117,0.225098,-15.25,-97.875,-67.125,10,16,17,-53,unknown
81981424,01-01 16:46:21:424,-0.974121,0.0776367,0.41748,-36.3125,-140.125,-97.375,9,15,16,-53,unknown
81981462,01-01 16:46:21:462,-0.949707,-0.0361328,0.483887,-47.9375,-162.562,-116.812,8,14,16,-53,unknown
81981522,01-01 16:46:21:522,-0.843262,-0.146973,0.69873,-41.6875,-185.125,-130.75,8,13,15,-53,unknown
81981565,01-01 16:46:21:565,-0.549805,-0.303711,0.762207,-23.5,-146.375,-123.375,7,12,15,-53,unknown
81981625,01-01 16:46:21:625,-0.500488,-0.304199,0.830078,1.75,-127.125,-110.875,7,12,15,-53,unknown
81981664,01-01 16:46:21:664,-0.320801,-0.452637,0.915527,21.25,-130.375,-99.125,7,11,15,-53,unknown
81981724,01-01 16:46:21:724,-0.155762,-0.358887,0.956543,25.875,-103.125,-73.3125,7,10,15,-53,unknown
81981761,01-01 16:46:21:761,-0.159668,-0.356934,1.00293,22.75,-97.4375,-61.75,7,10,15,-53,unknown
81981821,01-01 16:46:21:821,-0.0444336,-0.375488,1.06104,14.5625,-71.75,-52,7,9,14,-53,unknown
81981882,01-01 16:46:21:882,0.00927734,-0.376953,1.07568,-5.25,-40,-32.25,7,9,14,-53,unknown
81981925,01-01 16:46:21:925,-0.0141602,-0.40332,1.1333,1.5625,-21.1875,-20.75,7,8,14,-53,unknown
81981985,01-01 16:46:21:985,-0.0209961,-0.401367,1.14209,-3.5625,7.25,0.9375,7,8,14,-53,unknown
