timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1299567,12-31 18:21:39:567,0,-1,1,0,-1,0,-1,1
1299618,12-31 18:21:39:618,1,-1,0,-1,0,-1,0,-2
1299666,12-31 18:21:39:666,-3,1,0,0,1,-1,0,-2
1299703,12-31 18:21:39:703,-18,0,-1,1,-1,0,-1,0
1299768,12-31 18:21:39:768,3,-1,0,0,-2,-2,-3,-2
1299821,12-31 18:21:39:821,-8,-1,0,1,-1,0,2,0
1299867,12-31 18:21:39:867,16,-2,0,-1,-1,0,-1,-2
1299918,12-31 18:21:39:918,5,-2,0,0,-1,-1,-2,0
1299966,12-31 18:21:39:966,2,-1,-2,1,-2,-1,-1,0
1300026,12-31 18:21:40:26,4,0,-1,-1,0,0,1,-1
1300068,12-31 18:21:40:68,-1,0,0,0,0,0,0,1
1300128,12-31 18:21:40:128,1,0,-1,-1,0,-2,-1,-1
1300168,12-31 18:21:40:168,0,0,1,-1,-1,0,-2,-2
1300228,12-31 18:21:40:228,-1,1,0,0,0,-2,-1,-1
1300266,12-31 18:21:40:266,0,0,0,0,1,-1,0,1
1300326,12-31 18:21:40:326,-17,-5,-3,1,1,-2,-1,-2
1300369,12-31 18:21:40:369,0,0,1,2,-3,-4,-1,0
1300429,12-31 18:21:40:429,-11,1,-1,-1,-2,0,-4,-1
1300480,12-31 18:21:40:480,1,4,-2,-1,-4,0,-4,-1
1300528,12-31 18:21:40:528,4,-7,-1,-2,2,2,2,-1
1300587,12-31 18:21:40:587,0,1,0,-2,-1,-2,0,-1
1300630,12-31 18:21:40:630,1,-1,0,-1,2,-2,0,0
1300686,12-31 18:21:40:686,-24,0,0,-1,-2,-3,-2,-2
1300729,12-31 18:21:40:729,0,1,0,1,0,-2,-3,-5
1300789,12-31 18:21:40:789,-12,-4,0,-3,-1,-4,-11,-4
1300828,12-31 18:21:40:828,-4,1,0,0,-1,2,-1,0
1300888,12-31 18:21:40:888,-24,-4,-1,-1,-2,-2,1,-2
1300931,12-31 18:21:40:931,-37,-9,-1,-2,-3,-2,-3,-3
1300990,12-31 18:21:40:990,2,-1,-1,0,-1,-4,-5,0
1301043,12-31 18:21:41:43,-4,-4,-2,0,-2,0,-2,-1
1301089,12-31 18:21:41:89,-5,-2,0,0,-1,-2,-1,0
1301127,12-31 18:21:41:127,3,0,-1,2,-1,-1,-2,0
1301187,12-31 18:21:41:187,1,-1,-1,0,-1,0,1,0
1301231,12-31 18:21:41:231,1,-2,-2,-2,-2,0,-1,-2
1301291,12-31 18:21:41:291,0,-1,-1,-1,2,-2,0,0
1301352,12-31 18:21:41:352,-1,0,1,-1,-3,0,1,1
1301389,12-31 18:21:41:389,0,0,-1,-1,-1,0,-1,0
1301449,12-31 18:21:41:449,1,-1,0,1,-1,0,-3,-1
1301487,12-31 18:21:41:487,-2,-1,1,1,-1,-1,1,-1
1301547,12-31 18:21:41:547,7,-5,-3,-3,1,-1,-3,-2
1301607,12-31 18:21:41:607,16,-3,-2,-5,-4,0,0,1
1301643,12-31 18:21:41:643,-8,-6,-1,-2,-3,-3,-8,-4
1301703,12-31 18:21:41:703,4,-1,1,0,0,-2,-5,-2
1301749,12-31 18:21:41:749,-2,-3,-2,-2,-1,-1,-1,-1
1301809,12-31 18:21:41:809,-14,-4,0,0,-3,5,6,-6
1301846,12-31 18:21:41:846,-32,0,-1,-1,0,0,-2,-18
1301907,12-31 18:21:41:907,12,2,1,0,-2,2,6,6
1301952,12-31 18:21:41:952,-21,-5,-1,-2,2,2,26,0
1302012,12-31 18:21:42:12,2,0,-1,0,-2,-2,3,-2
1302049,12-31 18:21:42:49,8,0,1,0,-2,-1,-7,2
1302109,12-31 18:21:42:109,-1,-5,-2,-2,-1,-1,-5,-1
1302169,12-31 18:21:42:169,8,3,-1,0,0,-2,-3,1
1302207,12-31 18:21:42:207,-3,3,-1,-1,-1,0,0,0
1302267,12-31 18:21:42:267,2,0,-2,-1,-5,-2,-3,-2
